SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
99.9795,0.0999795,0.0147656,4.19971,01:30:46
99.6924,0.0996924,0.206719,4.19568,01:30:46
99.4041,0.0994041,0.207539,4.19164,01:30:46
99.1159,0.0991159,0.207539,4.1876,01:30:47
98.8276,0.0988276,0.207539,4.18355,01:30:47
98.5371,0.0985371,0.20918,4.17948,01:30:47
98.2477,0.0982477,0.208359,4.17542,01:30:47
97.9572,0.0979572,0.20918,4.17135,01:30:47
97.6689,0.0976689,0.207539,4.16731,01:30:47
97.3784,0.0973784,0.20918,4.16325,01:30:47
97.0902,0.0970902,0.207539,4.15922,01:30:47
96.7996,0.0967996,0.20918,4.15516,01:30:47
96.5091,0.0965091,0.20918,4.15111,01:30:47
96.2209,0.0962209,0.207539,4.14709,01:30:47
95.9303,0.0959303,0.20918,4.14305,01:30:47
95.641,0.0956409,0.208359,4.13903,01:30:47
95.3504,0.0953504,0.20918,4.135,01:30:47
95.0599,0.0950599,0.20918,4.13097,01:30:47
94.7694,0.0947694,0.20918,4.12695,01:30:47
94.4788,0.0944788,0.20918,4.12294,01:30:47
94.1872,0.0941872,0.21,4.11892,01:30:47
93.8955,0.0938955,0.21,4.1149,01:30:47
93.605,0.093605,0.20918,4.11091,01:30:47
93.3144,0.0933144,0.20918,4.10693,01:30:48
93.0239,0.0930239,0.20918,4.10296,01:30:48
92.7323,0.0927323,0.21,4.09898,01:30:48
92.4417,0.0924417,0.20918,4.09502,01:30:48
92.1501,0.0921501,0.21,4.09106,01:30:48
91.8584,0.0918584,0.21,4.08711,01:30:48
91.5667,0.0915667,0.21,4.08317,01:30:48
91.2762,0.0912762,0.20918,4.07926,01:30:48
90.9857,0.0909857,0.20918,4.07536,01:30:48
90.6951,0.0906951,0.20918,4.07147,01:30:48
90.4046,0.0904046,0.20918,4.0676,01:30:48
90.1141,0.0901141,0.20918,4.06373,01:30:48
89.8224,0.0898224,0.21,4.05987,01:30:48
89.5307,0.0895307,0.21,4.05602,01:30:48
89.2391,0.0892391,0.21,4.05218,01:30:48
88.9474,0.0889474,0.21,4.04835,01:30:48
88.6557,0.0886557,0.21,4.04454,01:30:48
88.3652,0.0883652,0.20918,4.04076,01:30:48
88.0735,0.0880735,0.21,4.03698,01:30:48
87.7819,0.0877819,0.21,4.03322,01:30:48
87.4913,0.0874913,0.20918,4.02948,01:30:49
87.1997,0.0871997,0.21,4.02575,01:30:49
86.908,0.086908,0.21,4.02204,01:30:49
86.6175,0.0866175,0.20918,4.01836,01:30:49
86.3247,0.0863247,0.21082,4.01466,01:30:49
86.033,0.086033,0.21,4.011,01:30:49
85.7413,0.0857413,0.21,4.00736,01:30:49
85.4497,0.0854497,0.21,4.00374,01:30:49
85.1569,0.0851569,0.21082,4.00012,01:30:49
84.8641,0.0848641,0.21082,3.99652,01:30:49
84.5724,0.0845724,0.21,3.99296,01:30:49
84.2807,0.0842807,0.21,3.98941,01:30:49
83.9891,0.0839891,0.21,3.98589,01:30:49
83.6974,0.0836974,0.21,3.98239,01:30:49
83.4057,0.0834057,0.21,3.97891,01:30:49
83.1141,0.0831141,0.21,3.97546,01:30:49
82.8224,0.0828224,0.21,3.97202,01:30:49
82.5296,0.0825296,0.21082,3.96859,01:30:49
82.2368,0.0822368,0.21082,3.96519,01:30:49
