SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
99.9795,0.0999795,0.0147656,4.19971,00:12:48
99.6912,0.0996912,0.207539,4.19567,00:12:48
99.4007,0.0994007,0.20918,4.19159,00:12:48
99.1102,0.0991102,0.20918,4.18752,00:12:48
98.8197,0.0988197,0.20918,4.18344,00:12:48
98.528,0.098528,0.21,4.17935,00:12:48
98.2375,0.0982375,0.20918,4.17528,00:12:48
97.9458,0.0979458,0.21,4.17119,00:12:48
97.6553,0.0976553,0.20918,4.16712,00:12:48
97.3647,0.0973647,0.20918,4.16306,00:12:48
97.0742,0.0970742,0.20918,4.159,00:12:48
96.7825,0.0967825,0.21,4.15492,00:12:48
96.4909,0.0964909,0.21,4.15086,00:12:48
96.1992,0.0961992,0.21,4.14679,00:12:49
95.9087,0.0959087,0.20918,4.14275,00:12:49
95.617,0.095617,0.21,4.1387,00:12:49
95.3253,0.0953253,0.21,4.13465,00:12:49
95.0337,0.0950337,0.21,4.13061,00:12:49
94.742,0.094742,0.21,4.12657,00:12:49
94.4492,0.0944492,0.21082,4.12253,00:12:49
94.1564,0.0941564,0.21082,4.11849,00:12:49
93.8647,0.0938647,0.21,4.11448,00:12:49
93.5731,0.0935731,0.21,4.11047,00:12:49
93.2803,0.0932802,0.21082,4.10646,00:12:49
92.9874,0.0929874,0.21082,4.10246,00:12:49
92.6946,0.0926946,0.21082,4.09846,00:12:49
92.4018,0.0924018,0.21082,4.09448,00:12:49
92.1102,0.0921102,0.21,4.09052,00:12:49
91.8174,0.0918173,0.21082,4.08656,00:12:49
91.5257,0.0915257,0.21,4.08262,00:12:49
91.2329,0.0912329,0.21082,4.07868,00:12:49
90.9401,0.0909401,0.21082,4.07475,00:12:49
90.6484,0.0906484,0.21,4.07085,00:12:49
90.3556,0.0903556,0.21082,4.06694,00:12:50
90.0639,0.0900639,0.21,4.06307,00:12:50
89.7723,0.0897723,0.21,4.05921,00:12:50
89.4806,0.0894806,0.21,4.05535,00:12:50
89.1878,0.0891878,0.21082,4.0515,00:12:50
88.8961,0.0888961,0.21,4.04768,00:12:50
88.6033,0.0886033,0.21082,4.04386,00:12:50
88.3116,0.0883116,0.21,4.04006,00:12:50
88.0188,0.0880188,0.21082,4.03627,00:12:50
87.726,0.087726,0.21082,4.0325,00:12:50
87.4332,0.0874332,0.21082,4.02874,00:12:50
87.1415,0.0871415,0.21,4.02501,00:12:50
86.8487,0.0868487,0.21082,4.02129,00:12:50
86.5571,0.0865571,0.21,4.01759,00:12:50
86.2643,0.0862643,0.21082,4.0139,00:12:50
85.9715,0.0859715,0.21082,4.01023,00:12:50
85.6786,0.0856786,0.21082,4.00658,00:12:50
85.3858,0.0853858,0.21082,4.00295,00:12:50
85.093,0.085093,0.21082,3.99933,00:12:50
84.8014,0.0848014,0.21,3.99575,00:12:50
84.5086,0.0845086,0.21082,3.99218,00:12:51
84.2157,0.0842157,0.21082,3.98862,00:12:51
83.9229,0.0839229,0.21082,3.98509,00:12:51
83.6301,0.0836301,0.21082,3.98159,00:12:51
83.3373,0.0833373,0.21082,3.9781,00:12:51
83.0445,0.0830445,0.21082,3.97463,00:12:51
82.7517,0.0827517,0.21082,3.97119,00:12:51
82.46,0.08246,0.21,3.96778,00:12:51
82.1684,0.0821684,0.21,3.96439,00:12:51
81.8767,0.0818767,0.21,3.96103,00:12:51
81.5828,0.0815828,0.211641,3.95767,00:12:51
81.2888,0.0812888,0.211641,3.95433,00:12:51
80.996,0.080996,0.21082,3.95104,00:12:51
80.7032,0.0807032,0.21082,3.94776,00:12:51
80.4104,0.0804104,0.21082,3.94451,00:12:51
80.1176,0.0801176,0.21082,3.94129,00:12:51
79.8248,0.0798248,0.21082,3.93809,00:12:51
79.532,0.079532,0.21082,3.93492,00:12:51
79.2392,0.0792392,0.21082,3.93179,00:12:51
78.9463,0.0789463,0.21082,3.92868,00:12:51
78.6524,0.0786524,0.211641,3.9256,00:12:52
78.3596,0.0783596,0.21082,3.92258,00:12:52
78.0668,0.0780668,0.21082,3.91959,00:12:52
77.774,0.077774,0.21082,3.91666,00:12:52
77.4812,0.0774812,0.21082,3.91377,00:12:52
77.1884,0.0771884,0.21082,3.91094,00:12:52
76.8955,0.0768955,0.21082,3.90815,00:12:52
76.6027,0.0766027,0.21082,3.90543,00:12:52
76.3099,0.0763099,0.21082,3.90276,00:12:52
76.0171,0.0760171,0.21082,3.90015,00:12:52
75.7232,0.0757232,0.211641,3.8976,00:12:52
75.4292,0.0754292,0.211641,3.89512,00:12:52
75.1353,0.0751353,0.211641,3.89269,00:12:52
74.8425,0.0748425,0.21082,3.89034,00:12:52
74.5497,0.0745497,0.21082,3.88805,00:12:52
74.2569,0.0742569,0.21082,3.88581,00:12:52
73.9641,0.0739641,0.21082,3.88362,00:12:52
73.6712,0.0736712,0.21082,3.8815,00:12:53
73.3784,0.0733784,0.21082,3.87942,00:12:53
73.0845,0.0730845,0.211641,3.87739,00:12:53
72.7917,0.0727917,0.21082,3.87541,00:12:53
72.4989,0.0724989,0.21082,3.87348,00:12:53
72.2049,0.0722049,0.211641,3.87158,00:12:53
71.9121,0.0719121,0.21082,3.86974,00:12:53
71.6182,0.0716182,0.211641,3.86793,00:12:53
71.3242,0.0713242,0.211641,3.86616,00:12:53
71.0314,0.0710314,0.21082,3.86443,00:12:53
70.7386,0.0707386,0.21082,3.86274,00:12:53
70.4435,0.0704435,0.212461,3.86107,00:12:53
70.1507,0.0701507,0.21082,3.85945,00:12:53
69.8579,0.0698579,0.21082,3.85786,00:12:53
69.5651,0.0695651,0.21082,3.8563,00:12:53
69.2711,0.0692711,0.211641,3.85476,00:12:53
68.9772,0.0689772,0.211641,3.85324,00:12:53
68.6833,0.0686833,0.211641,3.85175,00:12:53
68.3893,0.0683893,0.211641,3.85028,00:12:53
68.0954,0.0680954,0.211641,3.84883,00:12:54
67.8014,0.0678014,0.211641,3.84739,00:12:54
67.5086,0.0675086,0.21082,3.84598,00:12:54
67.2147,0.0672147,0.211641,3.84458,00:12:54
66.9207,0.0669207,0.211641,3.8432,00:12:54
66.6268,0.0666268,0.211641,3.84182,00:12:54
66.3328,0.0663328,0.211641,3.84046,00:12:54
66.0389,0.0660389,0.211641,3.8391,00:12:54
65.7449,0.0657449,0.211641,3.83775,00:12:54
65.451,0.065451,0.211641,3.8364,00:12:54
65.1559,0.0651559,0.212461,3.83505,00:12:54
64.8631,0.0648631,0.21082,3.83371,00:12:54
64.5691,0.0645691,0.211641,3.83237,00:12:54
64.2752,0.0642752,0.211641,3.83102,00:12:54
63.9812,0.0639812,0.211641,3.82966,00:12:54
63.6873,0.0636873,0.211641,3.8283,00:12:54
63.3933,0.0633933,0.211641,3.82693,00:12:54
63.0994,0.0630994,0.211641,3.82556,00:12:54
62.8054,0.0628054,0.211641,3.82417,00:12:54
62.5115,0.0625115,0.211641,3.82277,00:12:54
62.2164,0.0622164,0.212461,3.82135,00:12:54
61.9225,0.0619225,0.211641,3.81992,00:12:54
61.6285,0.0616285,0.211641,3.81847,00:12:54
61.3346,0.0613346,0.211641,3.81699,00:12:54
61.0406,0.0610406,0.211641,3.8155,00:12:55
60.7455,0.0607455,0.212461,3.81397,00:12:55
60.4516,0.0604516,0.211641,3.81243,00:12:55
60.1577,0.0601577,0.211641,3.81086,00:12:55
59.8637,0.0598637,0.211641,3.80925,00:12:55
59.5709,0.0595709,0.21082,3.80763,00:12:55
59.277,0.059277,0.211641,3.80597,00:12:55
58.983,0.058983,0.211641,3.80428,00:12:55
58.6891,0.0586891,0.211641,3.80257,00:12:55
58.3951,0.0583951,0.211641,3.80083,00:12:55
58.1023,0.0581023,0.21082,3.79907,00:12:55
57.8084,0.0578084,0.211641,3.79728,00:12:55
57.5144,0.0575144,0.211641,3.79547,00:12:55
57.2193,0.0572194,0.212461,3.79363,00:12:55
56.9254,0.0569254,0.211641,3.79178,00:12:55
56.6315,0.0566315,0.211641,3.78991,00:12:55
56.3387,0.0563387,0.21082,3.78803,00:12:55
56.0436,0.0560436,0.212461,3.78611,00:12:55
55.7496,0.0557496,0.211641,3.78419,00:12:55
55.4557,0.0554557,0.211641,3.78225,00:12:55
55.1617,0.0551617,0.211641,3.7803,00:12:56
54.8678,0.0548678,0.211641,3.77834,00:12:56
54.5739,0.0545739,0.211641,3.77636,00:12:56
54.2799,0.0542799,0.211641,3.77437,00:12:56
53.9848,0.0539848,0.212461,3.77237,00:12:56
53.6897,0.0536897,0.212461,3.77035,00:12:56
53.3958,0.0533958,0.211641,3.76833,00:12:56
53.1019,0.0531019,0.211641,3.76631,00:12:56
52.8079,0.0528079,0.211641,3.76429,00:12:56
52.5128,0.0525128,0.212461,3.76225,00:12:56
52.2177,0.0522177,0.212461,3.76021,00:12:56
51.9238,0.0519238,0.211641,3.75817,00:12:56
51.6287,0.0516287,0.212461,3.75612,00:12:56
51.3336,0.0513336,0.212461,3.75408,00:12:56
51.0385,0.0510385,0.212461,3.75203,00:12:56
50.7435,0.0507435,0.212461,3.74998,00:12:56
50.4484,0.0504484,0.212461,3.74794,00:12:56
50.1533,0.0501533,0.212461,3.74591,00:12:56
49.8582,0.0498582,0.212461,3.74387,00:12:56
49.562,0.049562,0.213281,3.74184,00:12:56
49.2669,0.0492669,0.212461,3.73982,00:12:57
48.9718,0.0489718,0.212461,3.73781,00:12:57
48.6756,0.0486756,0.213281,3.7358,00:12:57
48.3805,0.0483805,0.212461,3.73381,00:12:57
48.0854,0.0480854,0.212461,3.73183,00:12:57
47.7892,0.0477892,0.213281,3.72985,00:12:57
47.4941,0.0474941,0.212461,3.7279,00:12:57
47.1979,0.0471979,0.213281,3.72594,00:12:57
46.9017,0.0469017,0.213281,3.72401,00:12:57
46.6054,0.0466054,0.213281,3.72209,00:12:57
46.3092,0.0463092,0.213281,3.7202,00:12:57
46.013,0.046013,0.213281,3.71832,00:12:57
45.7156,0.0457156,0.214102,3.71646,00:12:57
45.4194,0.0454194,0.213281,3.71462,00:12:57
45.122,0.045122,0.214102,3.7128,00:12:57
44.8247,0.0448247,0.214102,3.711,00:12:57
44.5273,0.0445273,0.214102,3.70923,00:12:57
44.2311,0.0442311,0.213281,3.70748,00:12:57
43.9337,0.0439337,0.214102,3.70576,00:12:57
43.6364,0.0436364,0.214102,3.70407,00:12:57
43.339,0.043339,0.214102,3.7024,00:12:58
43.0416,0.0430416,0.214102,3.70077,00:12:58
42.7443,0.0427443,0.214102,3.69916,00:12:58
42.4469,0.0424469,0.214102,3.69759,00:12:58
42.1496,0.0421496,0.214102,3.69604,00:12:58
41.851,0.041851,0.214922,3.69453,00:12:58
41.5525,0.0415525,0.214922,3.69305,00:12:58
41.254,0.041254,0.214922,3.69161,00:12:58
40.9555,0.0409555,0.214922,3.69021,00:12:58
40.657,0.040657,0.214922,3.68885,00:12:58
40.3585,0.0403585,0.214922,3.68753,00:12:58
40.06,0.04006,0.214922,3.68625,00:12:58
39.7615,0.0397615,0.214922,3.68501,00:12:58
39.4619,0.0394619,0.215742,3.68381,00:12:58
39.1634,0.0391634,0.214922,3.68265,00:12:58
38.8637,0.0388637,0.215742,3.68152,00:12:58
38.5641,0.0385641,0.215742,3.68043,00:12:58
38.2644,0.0382644,0.215742,3.67938,00:12:58
37.9648,0.0379648,0.215742,3.67835,00:12:58
37.6663,0.0376663,0.214922,3.67736,00:12:58
37.3666,0.0373667,0.215742,3.67639,00:12:59
37.0659,0.0370659,0.216562,3.67544,00:12:59
36.7662,0.0367662,0.215742,3.67452,00:12:59
36.4654,0.0364654,0.216562,3.67362,00:12:59
36.1647,0.0361647,0.216562,3.67274,00:12:59
35.865,0.035865,0.215742,3.67187,00:12:59
35.5642,0.0355642,0.216562,3.67103,00:12:59
35.2635,0.0352635,0.216562,3.67019,00:12:59
34.9627,0.0349627,0.216562,3.66937,00:12:59
34.6619,0.0346619,0.216562,3.66855,00:12:59
34.3611,0.0343611,0.216562,3.66774,00:12:59
34.0603,0.0340603,0.216562,3.66694,00:12:59
33.7596,0.0337596,0.216562,3.66614,00:12:59
33.4588,0.0334588,0.216562,3.66535,00:12:59
33.1569,0.0331569,0.217383,3.66455,00:12:59
32.8549,0.0328549,0.217383,3.66376,00:12:59
32.5542,0.0325542,0.216562,3.66295,00:12:59
32.2534,0.0322534,0.216562,3.66215,00:12:59
31.9515,0.0319515,0.217383,3.66133,00:12:59
31.6495,0.0316495,0.217383,3.6605,00:12:59
31.3476,0.0313476,0.217383,3.65966,00:13:00
31.0457,0.0310457,0.217383,3.65881,00:13:00
30.7438,0.0307438,0.217383,3.65794,00:13:00
30.4419,0.0304419,0.217383,3.65705,00:13:00
30.1399,0.0301399,0.217383,3.65614,00:13:00
29.838,0.029838,0.217383,3.65521,00:13:00
29.5372,0.0295372,0.216562,3.65426,00:13:00
29.2353,0.0292353,0.217383,3.65327,00:13:00
28.9323,0.0289323,0.218203,3.65226,00:13:00
28.6303,0.0286303,0.217383,3.65122,00:13:00
28.3284,0.0283284,0.217383,3.65015,00:13:00
28.0254,0.0280254,0.218203,3.64903,00:13:00
27.7223,0.0277223,0.218203,3.64789,00:13:00
27.4192,0.0274192,0.218203,3.6467,00:13:00
27.1162,0.0271162,0.218203,3.64547,00:13:00
26.812,0.026812,0.219023,3.6442,00:13:00
26.5089,0.0265089,0.218203,3.64288,00:13:00
26.2059,0.0262059,0.218203,3.64151,00:13:00
25.9017,0.0259017,0.219023,3.6401,00:13:00
25.5975,0.0255975,0.219023,3.63863,00:13:00
25.2944,0.0252944,0.218203,3.63712,00:13:01
24.9902,0.0249902,0.219023,3.63555,00:13:01
24.686,0.024686,0.219023,3.63392,00:13:01
24.3807,0.0243807,0.219844,3.63222,00:13:01
24.0753,0.0240753,0.219844,3.63045,00:13:01
23.77,0.02377,0.219844,3.62863,00:13:01
23.4647,0.0234647,0.219844,3.62674,00:13:01
23.1593,0.0231593,0.219844,3.62478,00:13:01
22.854,0.022854,0.219844,3.62275,00:13:01
22.5486,0.0225486,0.219844,3.62065,00:13:01
22.2444,0.0222444,0.219023,3.61848,00:13:01
21.9391,0.0219391,0.219844,3.61622,00:13:01
21.6349,0.0216349,0.219023,3.6139,00:13:01
21.3307,0.0213307,0.219023,3.6115,00:13:01
21.0299,0.0210299,0.216562,3.60905,00:13:01
20.7337,0.0207337,0.213281,3.60655,00:13:01
20.442,0.020442,0.21,3.60401,00:13:01
20.1583,0.0201583,0.204258,3.60146,00:13:01
19.8724,0.0198724,0.205898,3.59881,00:13:01
19.5967,0.0195967,0.198516,3.59618,00:13:01
19.3437,0.0193437,0.182109,3.59371,00:13:02
19.0885,0.0190885,0.18375,3.59116,00:13:02
18.847,0.018847,0.173906,3.58871,00:13:02
18.6168,0.0186168,0.165703,3.58633,00:13:02
18.3856,0.0183856,0.166523,3.58391,00:13:02
18.1657,0.0181657,0.15832,3.58158,00:13:02
17.9503,0.0179503,0.155039,3.57928,00:13:02
17.7475,0.0177475,0.146016,3.57709,00:13:02
17.5447,0.0175447,0.146016,3.57488,00:13:02
17.3499,0.0173499,0.140273,3.57274,00:13:02
17.1574,0.0171574,0.138633,3.57062,00:13:02
16.9705,0.0169705,0.134531,3.56855,00:13:02
16.7882,0.0167882,0.13125,3.56653,00:13:02
16.6116,0.0166116,0.127148,3.56456,00:13:02
16.4396,0.0164396,0.123867,3.56263,00:13:02
16.2733,0.0162733,0.119766,3.56077,00:13:02
16.1103,0.0161103,0.117305,3.55895,00:13:02
15.9531,0.0159531,0.113203,3.55718,00:13:02
15.7947,0.0157947,0.114023,3.55541,00:13:02
15.6443,0.0156443,0.108281,3.55373,00:13:02
15.4962,0.0154962,0.106641,3.55207,00:13:03
15.3458,0.0153458,0.108281,3.5504,00:13:03
15.2046,0.0152046,0.101719,3.54883,00:13:03
15.0622,0.0150622,0.102539,3.54725,00:13:03
14.9289,0.0149289,0.0959766,3.54577,00:13:03
14.7933,0.0147933,0.0976172,3.54428,00:13:03
14.6588,0.0146588,0.0967969,3.54281,00:13:03
14.5289,0.0145289,0.0935156,3.54139,00:13:03
14.3979,0.0143979,0.0943359,3.53997,00:13:03
14.268,0.014268,0.0935156,3.53856,00:13:03
14.145,0.014145,0.0885937,3.53724,00:13:03
14.0197,0.0140197,0.0902344,3.5359,00:13:03
13.8955,0.0138955,0.0894141,3.53458,00:13:03
13.7759,0.0137759,0.0861328,3.53332,00:13:03
13.6596,0.0136596,0.0836719,3.5321,00:13:03
13.5423,0.0135423,0.0844922,3.53088,00:13:03
13.4295,0.0134295,0.0812109,3.52971,00:13:03
13.3144,0.0133144,0.0828516,3.52853,00:13:03
13.1982,0.0131982,0.0836719,3.52735,00:13:03
13.0843,0.0130843,0.0820312,3.5262,00:13:03
12.9726,0.0129726,0.0803906,3.52508,00:13:04
12.8621,0.0128621,0.0795703,3.52398,00:13:04
12.7539,0.0127539,0.0779297,3.52291,00:13:04
12.6479,0.0126479,0.0762891,3.52188,00:13:04
12.542,0.012542,0.0762891,3.52085,00:13:04
12.4349,0.0124349,0.0771094,3.51983,00:13:04
12.3289,0.0123289,0.0762891,3.51883,00:13:04
12.2264,0.0122264,0.0738281,3.51786,00:13:04
12.1238,0.0121238,0.0738281,3.51691,00:13:04
12.0213,0.0120213,0.0738281,3.51597,00:13:04
11.921,0.011921,0.0721875,3.51507,00:13:04
11.8174,0.0118174,0.0746484,3.51414,00:13:04
11.7205,0.0117205,0.0697266,3.51328,00:13:04
11.6203,0.0116203,0.0721875,3.5124,00:13:04
11.5234,0.0115234,0.0697266,3.51157,00:13:04
11.4243,0.0114243,0.0713672,3.51073,00:13:04
