SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
99.8884,0.0998883,0.0803906,4.19843,0.05
99.5978,0.0995978,0.20918,4.19436,0.1
99.3073,0.0993073,0.20918,4.19028,0.15
99.0156,0.0990156,0.21,4.18619,0.2
98.7251,0.0987251,0.20918,4.18211,0.25
98.4334,0.0984334,0.21,4.17802,0.3
98.1418,0.0981418,0.21,4.17394,0.35
97.8512,0.0978512,0.20918,4.16987,0.4
97.5607,0.0975607,0.20918,4.1658,0.45
97.2679,0.0972679,0.21082,4.1617,0.5
96.9762,0.0969762,0.21,4.15763,0.55
96.6857,0.0966857,0.20918,4.15357,0.6
96.394,0.096394,0.21,4.14951,0.65
96.1024,0.0961024,0.21,4.14544,0.7
95.8107,0.0958107,0.21,4.14139,0.75
95.519,0.095519,0.21,4.13734,0.8
95.2274,0.0952274,0.21,4.13329,0.85
94.9357,0.0949357,0.21,4.12925,0.9
94.6452,0.0946452,0.20918,4.12523,0.95
94.3535,0.0943535,0.21,4.12121,1
94.0618,0.0940618,0.21,4.11719,1.05
93.7713,0.0937713,0.20918,4.1132,1.1
93.4796,0.0934796,0.21,4.10919,1.15
93.1891,0.0931891,0.20918,4.10521,1.2
92.8974,0.0928974,0.21,4.10123,1.25
92.6058,0.0926058,0.21,4.09725,1.3
92.3152,0.0923152,0.20918,4.09331,1.35
92.0236,0.0920236,0.21,4.08935,1.4
91.7319,0.0917319,0.21,4.0854,1.45
91.4414,0.0914414,0.20918,4.08148,1.5
91.1497,0.0911497,0.21,4.07756,1.55
90.858,0.090858,0.21,4.07365,1.6
90.5664,0.0905664,0.21,4.06975,1.65
90.2747,0.0902747,0.21,4.06587,1.7
89.983,0.089983,0.21,4.062,1.75
89.6914,0.0896914,0.21,4.05814,1.8
89.4008,0.0894008,0.20918,4.0543,1.85
89.1092,0.0891092,0.21,4.05047,1.9
88.8164,0.0888164,0.21082,4.04664,1.95
88.5247,0.0885247,0.21,4.04283,2
88.233,0.088233,0.21,4.03904,2.05
87.9414,0.0879414,0.21,4.03527,2.1
87.6497,0.0876497,0.21,4.03152,2.15
87.358,0.087358,0.21,4.02778,2.2
87.0664,0.0870664,0.21,4.02405,2.25
86.7758,0.0867758,0.20918,4.02036,2.3
86.4842,0.0864842,0.21,4.01667,2.35
86.1925,0.0861925,0.21,4.013,2.4
85.9008,0.0859008,0.21,4.00935,2.45
85.6092,0.0856092,0.21,4.00572,2.5
85.3175,0.0853175,0.21,4.0021,2.55
85.027,0.085027,0.20918,3.99852,2.6
84.7353,0.0847353,0.21,3.99494,2.65
84.4436,0.0844436,0.21,3.99139,2.7
84.152,0.084152,0.21,3.98785,2.75
83.8603,0.0838603,0.21,3.98434,2.8
83.5686,0.0835686,0.21,3.98085,2.85
83.277,0.083277,0.21,3.97738,2.9
82.9853,0.0829853,0.21,3.97394,2.95
82.6925,0.0826925,0.21082,3.9705,3
82.4008,0.0824008,0.21,3.96709,3.05
82.1091,0.0821091,0.21,3.96371,3.1
81.8175,0.0818175,0.21,3.96035,3.15
81.5258,0.0815258,0.21,3.95702,3.2
81.2341,0.0812341,0.21,3.95372,3.25
80.9425,0.0809425,0.21,3.95043,3.3
80.6508,0.0806508,0.21,3.94718,3.35
80.3591,0.0803591,0.21,3.94394,3.4
80.0675,0.0800675,0.21,3.94074,3.45
79.7758,0.0797758,0.21,3.93756,3.5
79.4841,0.0794841,0.21,3.93441,3.55
79.1913,0.0791913,0.21082,3.93128,3.6
78.8997,0.0788997,0.21,3.92819,3.65
78.608,0.078608,0.21,3.92514,3.7
78.3152,0.0783152,0.21082,3.92212,3.75
78.0224,0.0780224,0.21082,3.91915,3.8
77.7296,0.0777296,0.21082,3.91622,3.85
77.4379,0.0774379,0.21,3.91335,3.9
77.1462,0.0771462,0.21,3.91053,3.95
76.8546,0.0768546,0.21,3.90777,4
76.5629,0.0765629,0.21,3.90506,4.05
76.2712,0.0762712,0.21,3.90241,4.1
75.9796,0.0759796,0.21,3.89982,4.15
75.6879,0.0756879,0.21,3.8973,4.2
75.3962,0.0753962,0.21,3.89484,4.25
75.1046,0.0751046,0.21,3.89244,4.3
74.8118,0.0748117,0.21082,3.8901,4.35
74.5201,0.0745201,0.21,3.88782,4.4
74.2273,0.0742273,0.21082,3.88558,4.45
73.9367,0.0739367,0.20918,3.88342,4.5
73.6462,0.0736462,0.20918,3.88132,4.55
73.3534,0.0733534,0.21082,3.87924,4.6
73.0606,0.0730606,0.21082,3.87722,4.65
72.7678,0.0727678,0.21082,3.87525,4.7
72.475,0.072475,0.21082,3.87332,4.75
72.1833,0.0721833,0.21,3.87145,4.8
71.8916,0.0718917,0.21,3.86961,4.85
71.6,0.0716,0.21,3.86782,4.9
71.3072,0.0713072,0.21082,3.86606,4.95
71.0144,0.0710144,0.21082,3.86433,5
70.7216,0.0707216,0.21082,3.86265,5.05
70.4288,0.0704288,0.21082,3.86099,5.1
70.1359,0.0701359,0.21082,3.85937,5.15
69.8431,0.0698431,0.21082,3.85778,5.2
69.5503,0.0695503,0.21082,3.85622,5.25
69.2575,0.0692575,0.21082,3.85469,5.3
68.9659,0.0689659,0.21,3.85319,5.35
68.6742,0.0686742,0.21,3.8517,5.4
68.3825,0.0683825,0.21,3.85024,5.45
68.0909,0.0680908,0.21,3.8488,5.5
67.798,0.067798,0.21082,3.84738,5.55
67.5052,0.0675052,0.21082,3.84597,5.6
67.2136,0.0672136,0.21,3.84458,5.65
66.923,0.066923,0.20918,3.84321,5.7
66.6314,0.0666314,0.21,3.84184,5.75
66.3397,0.0663397,0.21,3.84049,5.8
66.0469,0.0660469,0.21082,3.83914,5.85
65.7552,0.0657552,0.21,3.8378,5.9
65.4624,0.0654624,0.21082,3.83645,5.95
65.1696,0.0651696,0.21082,3.83512,6
64.8779,0.0648779,0.21,3.83378,6.05
64.5851,0.0645851,0.21082,3.83244,6.10001
64.2923,0.0642923,0.21082,3.8311,6.15001
63.9995,0.0639995,0.21082,3.82975,6.20001
63.7067,0.0637067,0.21082,3.82839,6.25001
63.4139,0.0634139,0.21082,3.82703,6.30001
63.1222,0.0631222,0.21,3.82566,6.35001
62.8306,0.0628306,0.21,3.82429,6.40001
62.5378,0.0625378,0.21082,3.8229,6.45001
62.245,0.062245,0.21082,3.82149,6.50001
61.9533,0.0619533,0.21,3.82007,6.55001
61.6605,0.0616605,0.21082,3.81863,6.60001
61.3677,0.0613677,0.21082,3.81716,6.65001
61.0749,0.0610749,0.21082,3.81567,6.70001
60.7821,0.0607821,0.21082,3.81416,6.75001
60.4892,0.0604892,0.21082,3.81263,6.80001
60.1976,0.0601976,0.21,3.81107,6.85001
59.9048,0.0599048,0.21082,3.80948,6.90001
59.612,0.059612,0.21082,3.80786,6.95001
59.3191,0.0593192,0.21082,3.80621,7.00001
59.0275,0.0590275,0.21,3.80454,7.05001
58.7347,0.0587347,0.21082,3.80284,7.10001
58.4419,0.0584419,0.21082,3.80111,7.15001
58.1491,0.0581491,0.21082,3.79935,7.20001
57.8563,0.0578563,0.21082,3.79757,7.25001
57.5634,0.0575634,0.21082,3.79577,7.30001
57.2718,0.0572718,0.21,3.79396,7.35001
56.979,0.056979,0.21082,3.79212,7.40001
56.6862,0.0566862,0.21082,3.79026,7.45001
56.3934,0.0563934,0.21082,3.78838,7.50001
56.1005,0.0561005,0.21082,3.78648,7.55001
55.8077,0.0558077,0.21082,3.78457,7.60001
55.5149,0.0555149,0.21082,3.78264,7.65001
55.2233,0.0552233,0.21,3.78071,7.70001
54.9293,0.0549293,0.211641,3.77875,7.75001
54.6365,0.0546365,0.21082,3.77678,7.80001
54.3437,0.0543437,0.21082,3.7748,7.85001
54.0509,0.0540509,0.21082,3.77282,7.90001
53.7581,0.0537581,0.21082,3.77082,7.95001
53.4653,0.0534653,0.21082,3.76881,8.00001
53.1713,0.0531713,0.211641,3.76679,8.05001
52.8785,0.0528785,0.21082,3.76477,8.10001
52.5857,0.0525857,0.21082,3.76275,8.15001
52.2918,0.0522918,0.211641,3.76072,8.20001
51.999,0.051999,0.21082,3.75869,8.25001
51.7062,0.0517062,0.21082,3.75666,8.30001
51.4134,0.0514134,0.21082,3.75463,8.35001
51.1194,0.0511194,0.211641,3.75259,8.40001
50.8255,0.0508255,0.211641,3.75055,8.45001
50.5315,0.0505315,0.211641,3.74852,8.50001
50.2387,0.0502387,0.21082,3.7465,8.55001
49.9448,0.0499448,0.211641,3.74447,8.60001
49.6508,0.0496508,0.211641,3.74245,8.65001
49.3569,0.0493569,0.211641,3.74043,8.70002
49.063,0.049063,0.211641,3.73843,8.75002
48.769,0.048769,0.211641,3.73643,8.80002
48.4751,0.0484751,0.211641,3.73445,8.85002
48.1811,0.0481811,0.211641,3.73247,8.90002
47.886,0.047886,0.212461,3.7305,8.95002
47.591,0.047591,0.212461,3.72854,9.00002
47.2959,0.0472959,0.212461,3.72659,9.05002
47.0008,0.0470008,0.212461,3.72465,9.10002
46.7068,0.0467068,0.211641,3.72275,9.15002
46.4118,0.0464118,0.212461,3.72085,9.20002
46.1155,0.0461155,0.213281,3.71897,9.25002
45.8204,0.0458204,0.212461,3.71711,9.30002
45.5242,0.0455242,0.213281,3.71527,9.35002
45.2291,0.0452291,0.212461,3.71345,9.40002
44.9341,0.0449341,0.212461,3.71166,9.45002
44.6378,0.0446378,0.213281,3.70988,9.50002
44.3416,0.0443416,0.213281,3.70813,9.55002
44.0465,0.0440465,0.212461,3.70641,9.60002
43.7503,0.0437503,0.213281,3.70471,9.65002
43.4552,0.0434552,0.212461,3.70305,9.70002
43.159,0.043159,0.213281,3.70141,9.75002
42.8628,0.0428628,0.213281,3.6998,9.80002
42.5654,0.0425654,0.214102,3.69821,9.85002
42.2692,0.0422692,0.213281,3.69666,9.90002
41.9718,0.0419718,0.214102,3.69514,9.95002
41.6745,0.0416745,0.214102,3.69365,10
41.3771,0.0413771,0.214102,3.6922,10.05
41.0809,0.0410809,0.213281,3.6908,10.1
40.7835,0.0407835,0.214102,3.68942,10.15
40.4861,0.0404861,0.214102,3.68809,10.2
40.1888,0.0401888,0.214102,3.6868,10.25
39.8914,0.0398914,0.214102,3.68555,10.3
39.594,0.039594,0.214102,3.68434,10.35
39.2978,0.0392978,0.213281,3.68317,10.4
39.0005,0.0390005,0.214102,3.68203,10.45
38.7031,0.0387031,0.214102,3.68093,10.5
38.4057,0.0384057,0.214102,3.67987,10.55
38.1072,0.0381072,0.214922,3.67883,10.6
37.8087,0.0378087,0.214922,3.67783,10.65
37.5102,0.0375102,0.214922,3.67685,10.7
37.2117,0.0372117,0.214922,3.6759,10.75
